"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig"
"A1BG",1.65834469439741,-1.48893248320321,1.90791511683004,-0.78039765504717,0.435156847712763,0.749237473070957,"Not Sig"
"A1CF",1.44725246544651,-0.938792597500804,1.05628484512458,-0.888768405448515,0.374127559087599,0.706821281421293,"Not Sig"
"A2M",164060.491240288,0.430147619662857,0.953301316690743,0.451218950537125,0.651831752738746,0.871640161257575,"Not Sig"
"A2ML1",63.270300481536,1.83434163929643,1.09334597159161,1.67773210580922,0.0933994088020519,0.387665697501429,"Not Sig"
"A3GALT2",5.67879262967224,1.07377169086106,0.778208729073263,1.37979908313258,0.167648515021485,0.510067002083095,"Not Sig"
"A4GALT",1602.7413540129,0.120817218486374,0.558540043868795,0.216308964437928,0.828746921862282,0.94753762510811,"Not Sig"
"A4GNT",0.667052695576334,2.74020774168633,2.06251673717189,1.32857479035234,0.183988293734726,NA,NA
"AAAS",1124.96623177149,-0.0973061990528074,0.286417527388386,-0.339735490142889,0.7340557324648,0.906577703515054,"Not Sig"
"AACS",788.589755727542,-0.215331194106315,0.500511834652174,-0.430221983174399,0.667034172299524,0.877415444218536,"Not Sig"
"AADAC",12.6115978044298,-0.272668715540749,1.24053349713001,-0.219799558957151,0.826027263135479,0.946238354020404,"Not Sig"
"AADACL4",4.20069563485938,2.71716835283446,2.86549985911335,0.948235381758213,0.343009638615608,0.68320617269286,"Not Sig"
"AADAT",404.100998617454,-0.16129324359918,0.401312022755304,-0.40191480557144,0.687746726172017,0.887287979511692,"Not Sig"
"AAGAB",2153.35153349966,-0.346034610436527,0.33978051981552,-1.01840626597547,0.308484925637209,0.654860525154185,"Not Sig"
"AAK1",2936.3486987387,-0.433893077729924,0.330423378224717,-1.31314279292562,0.189134836448343,0.536966046600319,"Not Sig"
"AAMDC",481.230617044882,0.95152322499359,0.343218880528064,2.77235105344325,0.00556529819849409,0.0937447168848378,"Not Sig"
"AAMP",2759.66346105071,0.042147097870209,0.125329398595194,0.336290593768357,0.736651742397952,0.907748091211695,"Not Sig"
"AANAT",2.52359615632776,1.45624885627584,1.05763777128559,1.3768880951611,0.168546848406172,0.51172228471259,"Not Sig"
"AAR2",2192.921787912,-0.247533414548016,0.143151206806714,-1.72917448668274,0.0837778711197093,0.366975446074784,"Not Sig"
"AARD",88.3234125011105,-0.552327680921089,0.593234970848156,-0.931043697797213,0.351830960650895,0.689683359275936,"Not Sig"
"AARS",8030.22152946368,-0.0694453095840194,0.261963404063358,-0.265095461834904,0.790935923244908,0.930955259309891,"Not Sig"
"AARS2",959.322578747278,-0.486553819928737,0.207243979364756,-2.34773440183942,0.018887984409599,0.173827182014851,"Not Sig"
"AARSD1",881.735754060432,0.126878174365311,0.223536428693819,0.567595067643754,0.570309957091055,0.829241315521109,"Not Sig"
"AASDH",723.379524777194,0.700361832921508,0.222867529448808,3.14250278922923,0.0016751011719072,0.0443275245994923,"FDR<0.05"
"AASDHPPT",2891.51987384062,0.31392477327166,0.295769195408527,1.06138427579672,0.288515299924066,0.638142416270706,"Not Sig"
"AASS",720.320408130205,0.527534172407182,0.361579901383281,1.45896984425577,0.144573407773799,0.479248962132384,"Not Sig"
"AATF",2362.15119613206,-0.0891264064081098,0.226339938604238,-0.393772336237795,0.693749130201785,0.889882726860017,"Not Sig"
"AATK",2002.26719953303,0.212346869299285,0.909549336118082,0.233463827487987,0.815401254992241,0.941796846106211,"Not Sig"
"ABAT",1141.3668974467,0.151435205552948,0.460049251377955,0.329171724765042,0.742025893474642,0.910134754921099,"Not Sig"
"ABCA1",8270.79027042419,-0.867660976476246,0.606257118955169,-1.43117655751669,0.152379620348549,0.488370568768222,"Not Sig"
"ABCA10",700.627435046009,2.03314103954322,0.870598266258396,2.33533779969622,0.0195257809872472,0.175539606769686,"Not Sig"
"ABCA12",11.5197843094755,-2.36772490380085,0.680032438483881,-3.48178229420886,0.000498088464840856,0.0216918777916748,"FDR<0.05"
"ABCA13",142.907803725326,1.13607096389117,0.856743615200622,1.32603376755266,0.184828512660518,0.531546807689523,"Not Sig"
"ABCA2",4854.98010733336,0.292798146254957,0.519205248771956,0.563935258642887,0.57279819332197,0.830178845681266,"Not Sig"
"ABCA3",1814.2491593179,0.378494739671853,0.275381461003761,1.37443798247073,0.169305751255495,0.51290019093898,"Not Sig"
"ABCA4",32.8222997861547,-0.51715299112735,0.722755104080642,-0.715530043589492,0.474281583295015,0.771971329068692,"Not Sig"
"ABCA5",838.395157437171,1.12813427169779,0.581512194497335,1.94000105650916,0.0523795614831213,0.29438876108526,"Not Sig"
"ABCA6",4554.03255232575,1.02501269784043,0.895511037172682,1.14461202072574,0.252369910559749,0.605527084680528,"Not Sig"
"ABCA7",520.357108834742,-0.459898400547487,0.535595153666887,-0.858667964784312,0.390523729439078,0.718724548987846,"Not Sig"
"ABCA8",29344.032678549,1.45749248246572,0.767783061619904,1.89831288982936,0.0576548769765433,0.307701686939666,"Not Sig"
"ABCA9",4712.34245832373,1.51923868345361,0.847890298680701,1.79178684532364,0.0731671168002599,0.346290356387257,"Not Sig"
"ABCB1",710.78310092269,0.553585896340519,0.983358668106747,0.562954204091508,0.573466068771451,0.830388733037215,"Not Sig"
"ABCB10",1169.26666402057,-0.00111025643536,0.189473232377772,-0.0058597007156471,0.995324662023548,0.998377451785541,"Not Sig"
"ABCB11",2.28479674001984,0.519538356061257,1.40280421084162,0.370356997823351,0.711116510093305,0.89805336753714,"Not Sig"
"ABCB4",267.053711851352,-0.067359531170858,0.769980175082734,-0.087482162983768,0.930288262946227,0.979390577116555,"Not Sig"
"ABCB5",191.564429855814,0.0820745726714189,1.09923900994592,0.0746649017445777,0.940481334043111,0.983693411212196,"Not Sig"
"ABCB6",1241.66927236755,-0.138589049855324,0.298864168402786,-0.463719189208873,0.642848947129556,0.865996685852855,"Not Sig"
"ABCB7",1378.58250279573,0.306102844682857,0.306438383757543,0.998905035751163,0.317840696558086,0.663351329734053,"Not Sig"
"ABCB8",823.882077336563,0.362261439715632,0.243225522261105,1.4894055374943,0.136380611273165,0.466035674455615,"Not Sig"
"ABCB9",250.47705657702,-0.142740317515041,0.42073482061832,-0.339264331165333,0.734410610480804,0.906783599319324,"Not Sig"
"ABCC1",2457.22092808578,-0.734591497977546,0.279368687519798,-2.62946969647587,0.00855181533098182,0.116531930135148,"Not Sig"
"ABCC10",660.421255353947,-0.333248105455084,0.217869503474797,-1.52957665088557,0.12612155260426,0.448791802769377,"Not Sig"
"ABCC11",8.42622213820266,0.160717271170843,1.03709329207306,0.154968962193925,0.876845786245671,0.96323427410971,"Not Sig"
"ABCC2",52.5215045877686,-0.569474504803123,0.405924605845956,-1.40290708324105,0.160644548390379,0.501883914428703,"Not Sig"
"ABCC3",117.013351229455,-1.78966395651131,0.907908542608943,-1.97119409337044,0.0487016792809012,0.283270539253644,"Not Sig"
"ABCC4",1256.77671951181,-0.729106715157052,0.379787641274692,-1.91977472650224,0.0548863605610733,0.301844153647224,"Not Sig"
"ABCC5",2241.55184452576,0.148248516541901,0.34238573402207,0.432986838558949,0.665024331457453,0.876610401285294,"Not Sig"
"ABCC6",110.917025458322,0.341649146874458,0.716140343067795,0.477070102503798,0.633312203424662,0.861348192939616,"Not Sig"
"ABCC8",27.3027075421431,0.47986424478874,1.0945284612506,0.438420983809275,0.661081137902382,0.875388517386482,"Not Sig"
"ABCC9",1441.19709395855,0.530590845315483,0.72644817950821,0.730390494852202,0.465151526764909,0.766682411283119,"Not Sig"
"ABCD1",880.933311305206,-0.385943053443543,0.202103843202213,-1.90962748322105,0.0561811939059792,0.305454402124322,"Not Sig"
"ABCD2",73.5170932905374,-0.735676490080231,0.759332652963622,-0.968846114030441,0.332621974582113,0.675326132355787,"Not Sig"
"ABCD3",3343.70430769844,0.587557021398785,0.25903298031083,2.26827109310073,0.0233126886625573,0.192148800693436,"Not Sig"
"ABCD4",283.377485061803,0.221366457673511,0.254868628797214,0.868551216829599,0.385092646978928,0.715337139651244,"Not Sig"
"ABCE1",5308.25685686528,0.253956819512887,0.364817520990634,0.696120128285742,0.486353602082261,0.779821727661452,"Not Sig"
"ABCF1",3770.44295866608,-0.726222641121081,0.242642502819808,-2.99297374813345,0.0027627351226354,0.0623521977612492,"Not Sig"
"ABCF2",3063.64883303002,0.128234588687142,0.243828874898113,0.525920438015086,0.598943487902288,0.843765051247479,"Not Sig"
"ABCF3",1685.32767096025,-0.312649578874041,0.110043610485776,-2.84114250244864,0.00449522206216052,0.0829772992581772,"Not Sig"
"ABCG1",1534.11756526703,-1.0796439833642,0.835948429068549,-1.29151984239888,0.196523479152965,0.546150627570683,"Not Sig"
"ABCG2",1582.81865437923,1.35095928152469,0.831636007985627,1.62445982202834,0.104277708607228,0.408915280208801,"Not Sig"
"ABCG4",24.085625529072,-1.19763707131073,0.559850979132646,-2.13920688888708,0.0324189165216887,0.22703720406886,"Not Sig"
"ABCG5",0.931280797051051,0.858766520069025,1.97551951253844,0.434704144716624,0.663777189539192,0.876523695435229,"Not Sig"
"ABCG8",5.34453281290868,0.0410462409290881,0.937458117626626,0.0437846130481064,0.965076092330526,0.990842303690633,"Not Sig"
"ABHD1",6.00719139282025,-0.268503787210059,0.96783378955984,-0.277427581167807,0.781451805748192,0.927184833164275,"Not Sig"
"ABHD10",1474.33280090258,0.284607751117935,0.256096718228261,1.11132916144697,0.266426691596409,0.61768080959092,"Not Sig"
"ABHD11",414.716670440002,0.233305283067867,0.291732152781115,0.799724270512321,0.423870567792366,0.741356816021086,"Not Sig"
"ABHD12",3055.931367225,-0.180018389776956,0.355352098402018,-0.5065916047393,0.612441400118457,0.850460406044961,"Not Sig"
"ABHD12B",12.0189034393859,5.30933425162575,1.43915432108732,3.6892042596338,0.000224956558904704,0.0135929100249579,"FDR<0.05"
"ABHD13",1834.79633911672,-0.124757055868972,0.147983660586825,-0.843046153705427,0.399202631731194,0.725197455538226,"Not Sig"
"ABHD14A",645.632174035601,0.428481248944698,0.302955995625712,1.41433493686016,0.157263583621904,0.496219024940561,"Not Sig"
"ABHD14A-ACY1",23.9089494793565,0.19030020103044,1.02895124223341,0.184945790645414,0.853271554726906,0.956123007891876,"Not Sig"
"ABHD14B",1950.31742845334,0.642076618941202,0.25240524495023,2.54383231643149,0.010964370572288,0.132159551550396,"Not Sig"
"ABHD15",1362.45930841334,0.344433811838821,0.410136362683128,0.839803156163774,0.401018763547666,0.72654523137574,"Not Sig"
"ABHD16A",1685.11577822788,-0.0487636777647191,0.169491306655155,-0.287706070164018,0.773571743086761,0.92357334275146,"Not Sig"
"ABHD17A",2436.29090027196,0.227694620208251,0.196834879838157,1.15677983696522,0.247362321672341,0.601425838275588,"Not Sig"
"ABHD17B",730.095134671827,-0.0783587758654502,0.114752790253741,-0.682848545052225,0.49470255074648,0.785155142577487,"Not Sig"
"ABHD17C",552.568390850022,-1.40958326719551,0.463461789664905,-3.04142282843786,0.00235462915650912,0.0560615208375998,"Not Sig"
"ABHD18",376.398972769213,-0.0376228075698646,0.201434684716453,-0.186774227203343,0.851837655015925,0.955768724025566,"Not Sig"
"ABHD2",11070.6059388856,-0.327459584119727,0.427853834145631,-0.765353861497166,0.444060859153526,0.754139622191673,"Not Sig"
"ABHD3",888.815162017832,0.304461985298965,0.338860683289301,0.898487196400509,0.368925868142963,0.702702425551866,"Not Sig"
"ABHD4",2153.05607738753,-0.170345812963832,0.252566526205672,-0.674459183182155,0.500019427162108,0.787457027009425,"Not Sig"
"ABHD5",918.633303619998,0.516441054887054,0.271247312682663,1.90394901899451,0.0569168241185713,0.307093269568269,"Not Sig"
"ABHD6",875.42326828936,0.621473860489909,0.255815012267686,2.42938776337174,0.0151243468891246,0.155026791619868,"Not Sig"
"ABHD8",823.76456608194,-0.0292922510697334,0.232679311141089,-0.125891085572157,0.899818139216709,0.96945225056211,"Not Sig"
"ABI1",3557.35368426054,0.145476067521563,0.148831818324713,0.977452732615092,0.328345067543137,0.671478483449125,"Not Sig"
"ABI2",5548.40643581256,0.195888146231298,0.221716722664064,0.883506412496004,0.376962719416819,0.708999992130091,"Not Sig"
"ABI3",689.960862823591,0.259381891755486,0.722546415070177,0.358983016655468,0.71960779438472,0.901355824546202,"Not Sig"
"ABI3BP",6521.17151079021,-0.189075519362057,0.744508746517598,-0.253960104896616,0.799526379501149,0.935506762512304,"Not Sig"
"ABL1",6988.3185260442,0.0665803995137767,0.27013571970614,0.246470180197585,0.805318285302704,0.938104511804939,"Not Sig"
"ABL2",3557.43589431481,-0.239235746024727,0.366389677581845,-0.652954383441345,0.513785687195581,0.795697580071569,"Not Sig"
"ABLIM1",8224.02933098894,0.393425756184396,0.53137133649413,0.740397024009861,0.459059124061244,0.763287436658287,"Not Sig"
"ABLIM2",181.085822261487,0.85596090920371,0.585974395319392,1.46074797131223,0.144084618895317,0.478983256484949,"Not Sig"
"ABLIM3",3895.63642215381,0.659924656859219,1.00244629548599,0.658314225740427,0.510336238751249,0.794044706128851,"Not Sig"
"ABO",6.92138026024948,-0.562607026181335,1.7084813980128,-0.329302400854774,0.74192712961065,0.910134754921099,"Not Sig"
"ABR",5006.76858080435,-0.431502742047126,0.24004756031707,-1.7975718706625,0.0722448793165336,0.344394947206233,"Not Sig"
"ABRA",2.05575252607998,1.06289578674285,1.32257871847055,0.803654082663604,0.421596779536772,0.739779001792961,"Not Sig"
"ABRACL",858.397364056676,-0.561522960737171,0.391121117844379,-1.43567538319573,0.15109473314769,0.486608140031383,"Not Sig"
"ABRAXAS1",299.650010213726,0.611462655707656,0.308087723589118,1.9847030858105,0.0471775153000538,0.27809193115952,"Not Sig"
"ABRAXAS2",1386.6100968281,0.28657892077594,0.189563617598711,1.51178229454663,0.130589255043169,0.456535610662212,"Not Sig"
"ABT1",1131.86124887256,-0.254302101440358,0.258671599599997,-0.983107932349761,0.325554320662537,0.669044774024866,"Not Sig"
"ABTB1",982.598698183556,0.376071457216809,0.49299056122062,0.762837033402172,0.445560592056175,0.755173862788973,"Not Sig"
"ABTB2",872.032828679588,0.17917868409471,0.370577860012482,0.483511573218851,0.62873254434413,0.858772355485958,"Not Sig"
"ACAA1",1657.03251874244,0.328548560909657,0.21394710583113,1.53565321500064,0.124623455238836,0.446485810180808,"Not Sig"
"ACAA2",3407.26342716055,-0.106988329809768,0.445179859381685,-0.240326078449202,0.810077479650541,0.939731014930684,"Not Sig"
"ACACA",3792.06957517777,0.030679751562912,0.331895996683501,0.0924378476073288,0.926350170097632,0.978116023355976,"Not Sig"
"ACACB",3048.65340534429,2.91752844998233,0.640293297153772,4.55655004191252,5.20006545943737e-06,0.00108593656154732,"FDR<0.05"
"ACAD10",906.823982176657,0.11270455457933,0.23602102284315,0.477519134616364,0.632992498656708,0.861341963222962,"Not Sig"
"ACAD11",459.945302080772,0.433060916177957,0.402722535824367,1.07533320749356,0.282225573867038,0.632426098492225,"Not Sig"
"ACAD8",736.668901369492,0.736561914432466,0.301295724011923,2.44464775213112,0.0144993676939919,0.15305574923262,"Not Sig"
"ACAD9",1451.31046559158,0.201447290473118,0.200669449185786,1.00387623173576,0.315438274302671,0.66064422528857,"Not Sig"
"ACADL",253.383812115236,-0.0218356014923004,0.754242003907266,-0.0289503917564701,0.976904155634838,0.99472819898921,"Not Sig"
"ACADM",2065.99241963128,0.685216002763018,0.240719724173117,2.84653035856022,0.00441985146582505,0.0823755757603717,"Not Sig"
"ACADS",726.356403317921,0.987969362884246,0.474713655446746,2.08119010596921,0.037416508810242,0.247062989412543,"Not Sig"
"ACADSB",1589.62353041257,0.485754445418277,0.196535695421493,2.47158382285987,0.0134516011807564,0.146824057472324,"Not Sig"
"ACADVL",5917.74633353858,0.359587811109449,0.246021155044704,1.46161337647614,0.143847186721978,0.47881767508528,"Not Sig"
"ACAN",392.069265907951,-1.81343369513642,0.867257331987984,-2.09099840180025,0.0365282072461005,0.244174090318804,"Not Sig"
"ACAP1",245.170289800787,-1.01035274108298,0.843728367850101,-1.19748580180782,0.231117258336545,0.58327831082518,"Not Sig"
"ACAP2",5145.35300273172,0.069849578109407,0.170070262330289,0.410710121524679,0.681285104307102,0.883944674230355,"Not Sig"
"ACAP3",1422.37894576158,0.298844841493494,0.270177786609217,1.10610441089201,0.268681329777369,0.619783535937069,"Not Sig"
"ACAT1",2955.74521421175,1.33164874607439,0.419455582625624,3.17470740939672,0.00149987656177094,0.0422059550635537,"FDR<0.05"
"ACAT2",768.751032536822,0.482409325761094,0.411527436537679,1.17224098062518,0.241100319538275,0.596317328561204,"Not Sig"
"ACBD3",3967.79417028977,-0.464622447165576,0.204359087823363,-2.27355901865823,0.0229925138297947,0.190501549814451,"Not Sig"
"ACBD4",408.302071643298,0.440856076728463,0.281999664797682,1.56332127928149,0.117977045641935,0.435609852524378,"Not Sig"
"ACBD5",2116.05316521898,0.116288106751015,0.171218040417889,0.679181390390828,0.497022937134821,0.785983900484727,"Not Sig"
"ACBD6",1676.0046629952,0.1688214216573,0.25965363363304,0.650179315017368,0.51557640077365,0.797246042492632,"Not Sig"
"ACBD7",33.4481915551057,-1.55459284242101,0.555029133703779,-2.8009211553401,0.00509569673189797,0.0889344432498198,"Not Sig"
"ACCS",262.224339365613,0.452871385984483,0.490423602177056,0.923429019268498,0.35578367470861,0.692431892401115,"Not Sig"
"ACD",524.517810213792,0.371791879743925,0.20305388962123,1.83100102360734,0.0671003902956624,0.331420561245445,"Not Sig"
"ACE",1464.40770002718,-0.913956211602831,0.550363367009571,-1.66064143507382,0.0967854819679453,0.394818253459731,"Not Sig"
"ACE2",12.1984028282487,0.78324283208139,1.03876613726215,0.754012673291183,0.450841611901167,0.758684280655279,"Not Sig"
"ACER1",4.15196794866305,0.0923867535430262,0.892229520344724,0.103545950269984,0.917529682417818,0.975800774937105,"Not Sig"
"ACER2",202.606345028718,0.414120499359219,0.503461839511601,0.82254595454732,0.410766243466959,0.732490874281152,"Not Sig"
"ACER3",2881.7230259835,0.709373081362092,0.318860203210632,2.22471501372499,0.026100375732396,0.203507787930553,"Not Sig"
"ACHE",129.728596366484,-1.45006925564563,0.712641957979701,-2.03477951222026,0.0418730634470846,0.262585314301128,"Not Sig"
"ACIN1",4799.09320330256,-0.0820199659328537,0.165994580220255,-0.494112312727458,0.621226862674663,0.855441665858426,"Not Sig"
"ACKR1",1289.64304180594,0.988246615850897,1.19988307707753,0.82361909650222,0.410156021823533,0.731930307160913,"Not Sig"
"ACKR2",138.565439638817,2.10369842319322,0.762188663561782,2.76007571847426,0.00577879661236975,0.095731903470095,"Not Sig"
"ACKR3",2072.57347197376,0.320780420308265,0.391725762857031,0.818890281733501,0.412849015068621,0.734090272690234,"Not Sig"
"ACKR4",91.4873995554067,2.33741843410617,0.832949536308614,2.80619453186194,0.00501304180391179,0.0880501818688983,"Not Sig"
"ACLY",10235.1120156368,0.17792818792664,0.201371970596335,0.883579712706441,0.376923134507994,0.708999992130091,"Not Sig"
"ACO1",2983.63944428601,-0.169232709939196,0.202592764004893,-0.8353344245558,0.403529440129819,0.728435941787092,"Not Sig"
"ACO2",4821.92773062254,0.499589825346231,0.25797185933444,1.93660590203582,0.0527935359599954,0.296043467743319,"Not Sig"
"ACOD1",0.738955640175708,-2.26299718966074,3.0035954547578,-0.753429422752677,0.451191907640179,NA,NA
"ACOT1",305.984942752458,0.837582695387547,0.62690842763751,1.33605269679331,0.181532049712854,0.527104484342792,"Not Sig"
"ACOT11",149.056796206229,-0.447287955138434,0.354979562656996,-1.26003861121051,0.207655433883509,0.558545110407795,"Not Sig"
"ACOT12",1.68901064747791,-0.202075909620637,1.23195182792157,-0.164029067566351,0.869708261108904,0.960419537865644,"Not Sig"
